11,Doran,Martell,,Male,Faith of the Seven,Alive,"Doran Martell is a recurring character in the fifth season, although he had already been mentioned in the second and fourth seasons. He is played by Alexander Siddig. Doran Martell is the head of House Martell, the ruling Prince of Dorne, and the Lord of Sunspear. He is the older brother of Elia and Oberyn Martell, and the father of Trystane Martell. "
12,Robin,Arryn,Little Bird,Male,Faith of the Seven,Alive,"Robin Arryn, commonly called ""Sweetrobin"" by his mother, is a recurring character in the first, fourth and fifth seasons. He is played by guest star Lino Facioli and debuts in ""The Wolf and the Lion"". Lord Robin Arryn is the only surviving child and heir of Lord Jon Arryn by his wife, Lysa of House Tully. He is the Lord of the Eyrie, the head of House Arryn, the Warden of the East and Lord Paramount of the Vale of Arryn. His mother was killed by Petyr Baelish in ""Mockingbird"" by being pushed out of the Moon Door and falling hundreds of feet to her death, leaving Petyr as the acting Lord Paramount of the Vale as Robin's step-father. "
13,Tommen,Baratheon,,Male,Faith of the Seven,Alive,"Tommen Baratheon is a major character in the fifth season. He initially appeared as a recurring character in the first, second and fourth seasons. He is portrayed by guest star Dean-Charles Chapman, taking over the role (starting in Season 4) from Callum Wharry, who played the character briefly in Seasons 1 and 2. Tommen is the younger brother of late King Joffrey and Princess Myrcella, and Joffrey's heir presumptive to the Iron Throne. Though legally the son of the late King Robert Baratheon and Queen Cersei Lannister, his true father is Ser Jaime Lannister, the Queen's twin brother. Following Joffrey's death at his wedding feast, Tommen is crowned King. His formal style is Tommen of the House Baratheon, First of His Name, King of the Andals and the First Men and Lord of the Seven Kingdoms. As he is not old enough to rule in his own right and command the military forces of the Seven Kingdoms, he does not yet bear the title of Protector of the Realm. "
14,Stannis,Baratheon,Son of Fire,Male,Lord of Light,Alive,"Stannis Baratheon is a major character in the second, third, fourth and fifth seasons. He is played by starring cast member Stephen Dillane, and debuts in ""The North Remembers"". Stannis is mentioned in the first season but did not appear. Stannis Baratheon is the Lord of Dragonstone, the younger brother of late King Robert Baratheon, and older brother of Renly Baratheon. When Eddard Stark discovers that Robert's heir Joffrey is in reality a bastard born out of incest between Queen Cersei Lannister and her brother Jaime, Stannis, as the lawful heir, claims the Iron Throne for himself, beginning the War of the Five Kings. He attacks King's Landing, but most of his forces are destroyed and scattered at the Battle of the Blackwater, and he retreats to Dragonstone. Stannis is heavily influenced by his priestess Melisandre, an adherent of the Lord of Light religion. He is also attended at most times by his loyal Hand and confidant, Ser Davos Seaworth. Stannis raises a new army courtesy of a loan from the Iron Bank of Braavos, and inflicts a decisive defeat on an invading wilding army beyond the Wall. Stannis styles himself as Stannis of the House Baratheon, First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm. "
15,Mance,Rayder,King Beyond the Wall,Male,Old Gods of the Forest,Alive,"Mance Rayder is a recurring character in the third, fourth and fifth seasons. He is mentioned in the first and second seasons. He makes his first on-screen appearance in ""Valar Dohaeris"" and is played by Ciaran Hinds. He is the leader of the Free Folk and a feared opponent of the Night's Watch. "
16,Balon,Greyjoy,Invader of the North,Male,Drowned God,Alive,"Balon Greyjoy is a recurring character in the second and third seasons. He is played by guest star Patrick Malahide and debuts in ""The Night Lands."" Balon Greyjoy is the Lord Reaper of Pyke and the head of House Greyjoy. He is the father of major character Theon Greyjoy. "
17,Alliser,Thorne,,Male,Faith of the Seven,Alive,"Alliser Thorne is a recurring character in the first, fourth, and fifth seasons. He is played by guest star Owen Teale and debuts in ""Lord Snow."" He was originally announced as being played by Derek Halligan, but Halligan withdrew from the role before production began. Ser Alliser Thorne is the Master-at-Arms at Castle Black and is responsible for training new recruits to the Night's Watch. "
18,Brandon,Stark,Bran,Male,Old Gods of the Forest,Alive,"Brandon Stark, commonly called Bran, is a major character in the first, second, third and fourth seasons. He will not appear in the fifth season. He is played by starring cast member Isaac Hempstead-Wright and debuts in the series premiere. Bran Stark is a noble boy living with his family in Winterfell. He lost the use of his legs after being pushed out of a tower window. He relies on the servant Hodor to aid his mobility. He has had prophetic dreams. Bran adopted the direwolf Summer and they have forged a strong connection. He is able to see through the direwolf's eyes while he sleeps, as Bran is a Warg: a person who possesses the magical ability to enter the minds of animals and people. Bran is also blessed with the magical power of greensight, which gives him prophetic visions in his dreams. "
19,Edmure,Tully,,Male,Faith of the Seven,Alive,"Edmure Tully is a recurring character in the third season. He is played by Tobias Menzies. Edmure is the son and heir of the late Lord Hoster Tully of Riverrun. He is the younger brother of Catelyn and Lysa. "
20,Mace,Tyrell,Lord Oaf,Male,Faith of the Seven,Alive,"Mace Tyrell is a recurring character in the fourth and fifth seasons. He is played by guest star Roger Ashton-Griffiths and debuts in ""The Lion and the Rose"". Lord Mace Tyrell is the Lord of Highgarden and head of House Tyrell. He is the father of Loras and Margaery Tyrell, and the son of Olenna Tyrell. He initially supported Renly Baratheon's claim to the Iron Throne in the War of the Five Kings, but after Renly's death he successfully negotiated an alliance with House Lannister to support King Joffrey's claim to the throne, on the condition that his daughter Margaery would marry Joffrey, making her the new queen and giving House Tyrell the prestige of entering into the royal bloodline. "
21,Walder,Frey,The Late Lord Frey,Male,Faith of the Seven,Alive,"Walder Frey is a recurring character in the first and third seasons. He is played by guest star David Bradley. Lord Walder is the Lord of the Crossing and the head of House Frey. He initially allied himself with King Robb Stark in the War of the Five Kings in exchange for a marriage contract to one of his daughters, but betrayed him at the Red Wedding after Robb broke his vow by marrying Talisa Maegyr, killing Robb, Talisa, his mother, and most of the Stark army.  "
22,Tywin,Lannister,Savior of the City,Male,Faith of the Seven,Deceased,"Lord Tywin Lannister is a major character in the second, third and fourth seasons. He initially appeared as a recurring character in the first season, debuting in ""You Win or You Die"", and appeared briefly as a corpse in the fifth season. He is played by starring cast member Charles Dance. Tywin Lannister is the head of House Lannister, Lord of Casterly Rock, Warden of the West, Lord Paramount of the Westerlands, Hand of the King on two occasions, and Protector of the Realm. He is the father of Cersei, Jaime and Tyrion Lannister. Intelligent, calculating, ruthless and intimidating, Tywin is the richest man in Westeros and effectively the most powerful when he serves as Hand of the King to his grandsons Joffrey and Tommen. His driving force is to secure his legacy and that of the Lannister name, and will do whatever he considers necessary to protect the family. Tywin is often at odds with his three children, whom he considers a disappointment. His mistreatment of Tyrion eventually results in Tyrion killing him in cold blood, after the former is sentenced to death for a murder he did not commit.  "
23,Robb,Stark,King in the North,Male,Old Gods of the Forest,Deceased,"Robb Stark is a major character in the first, second, and third seasons. He is played by starring cast member Richard Madden, and debuts in the series premiere. Robb is the eldest son of Lord Eddard Stark of Winterfell and his wife Lady Catelyn, brother of Sansa, Arya, Bran and Rickon Stark, and half-brother of Jon Snow. He adopts a direwolf named Grey Wind. When Eddard is arrested and subsequently executed by King Joffrey, Robb is declared King in the North, and leads a rebellion against the Iron Throne. In the resulting conflict, he proves himself an adept battle commander, securing several notable victories over Lannister forces and capturing Jaime Lannister. However, he is a naive and inexperienced politician, putting honorable conduct over practical concerns, and makes a number of crucial blunders. He breaks an oath to marry a daughter of his ally Walder Frey, choosing instead to marry Talisa Maegyr, and he entrusts Theon Greyjoy to negotiate an alliance with the ironborn, but Theon betrays him and seizes Winterfell. Robb then alienates the Karstarks, who make up nearly half of his remaining army, when he executes their leader Rickard Karstark, after Rickard kills two young Lannister boys. With the war turning against him, Robb is forced to turn to the Freys again. He seemingly wins back their support by agreeing for his uncle Edmure Tully to marry Roslin Frey. Unbeknownst to Robb, it is a trap, as the Freys and Stark bannerman Roose Bolton are now in league with Tywin Lannister. At the wedding feast, despite invoking guest right, the Freys turn on the Starks, and Robb, Catelyn, Talisa and most of his army are massacred in what becomes known as the Red Wedding. Robb himself is personally killed by Roose Bolton. This effectively ends the northern rebellion, and the Starks are stripped of their ancestral seat in the North. "
24,Jaime,Lannister,Kingslayer,Male,Faith of the Seven,Alive,"Jaime Lannister is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Nikolaj Coster-Waldau and debuts in the series premiere. Ser Jaime Lannister is a knight of the Kingsguard, the son of Tywin Lannister, twin brother of Queen Cersei Lannister, and older brother of Tyrion Lannister. Previously he served in the Kingsguard of Aerys II Targaryen and, infamously, he betrayed and killed Aerys during the Sack of King's Landing, earning him the sobriquet ""The Kingslayer"". Jaime is involved in an incestuous sexual relationship with Cersei, and, unknown to most, is the biological father of her three children, Joffrey, Myrcella and Tommen. Jaime visits Winterfell in King Robert's entourage; he pushes Bran Stark from a window when Bran sees him having intercourse with Cersei. Bran survives but is paralyzed from the waist down and has no memory of the event. Evidence implicating House Lannister emerges and sparks a war with the Starks, which eventually escalates into a major conflict. Jaime leaves his post to join his father's attack on the Riverlands. After Joffrey assumes the Iron Throne, Jaime is promoted in absentia to Lord Commander of the Kingsguard. However, his army is routed by Robb Stark's forces during the Battle of the Whispering Wood and he is taken prisoner. Catelyn Stark later releases him with the promise that he will return her daughters Sansa and Arya to her. Escorted by Brienne of Tarth, they begin an arduous journey back to King's Landing, during which Jaime's sword hand is cut off by Locke. Jaime and Brienne eventually reach the capital, where Jaime ultimately helps Tyrion escape from prison for a murder he did not commit, though it indirectly leads to Tywin's murder at Tyrion's hands, which Jaime holds himself partly responsible for. "
25,Joffrey,Baratheon,,Male,Faith of the Seven,Deceased,"Joffrey Baratheon is a major character in the first, second, third, and fourth seasons. He is played by Jack Gleeson and debuts in the series premiere. Joffrey ruled the Seven Kingdoms, having claimed the Iron Throne after his legal father, King Robert Baratheon, died. However, Joffrey was actually the bastard son of the incestuous relationship between Ser Jaime Lannister and Queen Cersei Lannister. Because of this, his claim to the Iron Throne was challenged by Robert's younger brother, Stannis Baratheon. He was formally styled as His Grace, Joffrey of the Houses Baratheon and Lannister, the First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm. Joffrey was originally betrothed to Sansa Stark, whom he kept captive in King's Landing after he beheaded her father for treason, as Eddard Stark tried to reveal the truth about his parentage. However, he later set Sansa aside in favor of Margaery Tyrell, as part of the new alliance between House Lannister, the primary supporters of Joffrey, and House Tyrell, the ruling house of the Reach whose support helped save King's Landing from Stannis Baratheon's attack. At his wedding to Margaery Tyrell, Joffrey was assassinated by drinking poisoned wine. His final gesture as he was dying was towards his uncle, Tyrion Lannister. Upon his death, Cersei Lannister arrests Tyrion on the grounds of regicide, though the actual orchestrators are Lord Petyr Baelish and Lady Olenna Tyrell. "
26,Varys,,The Spider,Male,Faith of the Seven,Alive,"Varys, sometimes called the Spider, is a major character in the second, third, fourth and fifth seasons. He initially appeared as a recurring character in the first season and debuted in ""Lord Snow"". He is played by starring cast member Conleth Hill. Varys is a eunuch and was the Master of Whisperers on the king's small council until he is forced to flee King's Landing with Tyrion Lannister. He is a skilled manipulator and commands a network of informants across two continents.   "
27,Petyr,Baelish,Littlefinger,Male,Faith of the Seven,Alive,"Petyr Baelish, popularly called Littlefinger, is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Aidan Gillen and debuts in ""Lord Snow."" Petyr Baelish was the Master of Coin on the Small Council. He is a skilled manipulator and uses his ownership of brothels in King's Landing to both accrue intelligence on political rivals and acquire vast wealth. Baelish's spy network is eclipsed only by that of Varys. He betrayed Eddard Stark to side with House Lannister and King Joffrey Baratheon following the death of King Robert Baratheon, becoming one of the instigators of the War of the Five Kings. Following the events of the Battle of Blackwater, King Joffrey named Littlefinger the Lord of Harrenhal. He eventually marries Lysa Arryn and proceeds to murder her shortly afterwards, becoming Lord Protector of the Vale until Lord Robin Arryn comes of age and one of the most powerful men in all of Westeros. "
28,Sansa,Stark,Alayne,Female,Old Gods of the Forest,Alive,"Sansa Stark is a major character in the first, second, third, fourth and fifth seasons. She is played by starring cast member Sophie Turner, and debuts in the series premiere. Sansa is the daughter of Lord Eddard Stark of Winterfell and his wife Lady Catelyn, sister of Robb, Arya, Bran and Rickon Stark, and half-sister of Jon Snow. She moves to King's Landing when her father is appointed Hand of the King to Robert Baratheon, and she is betrothed to heir apparent Joffrey. Things soon turn sour for Sansa in King's Landing; she is forced to watch as her father is betrayed and executed for treason by Joffrey. During the resulting War of the Five Kings, Sansa is effectively a prisoner of the Lannisters, and repeatedly humiliated and brutalized by Joffrey, who later repudiates his betrothal to her in favor of Margaery Tyrell. During her captivity, Sansa, by now thought to be the last surviving Stark, is unwillingly married to Tyrion Lannister at the behest of his father. In the wake of Joffrey's assassination, she is spirited away from the city by Petyr Baelish. She adopts the alias of Alayne and is presented as Lord Petyr's niece, to hide her from recapture by the Lannisters. "
29,Catelyn,Stark,,Female,Old Gods of the Forest,Deceased,"Catelyn Stark, nee Tully, is a major character in the first, second and third seasons. She is played by starring cast member Michelle Fairley, and debuts in the series premiere. She was played in the unaired pilot by Jennifer Ehle but the role was recast. Catelyn is from House Tully and married into House Stark. She is a devoted mother and is fiercely protective of her children. Her husband, Eddard Stark, is the Lord paramount of the North. He becomes Hand of the King to Robert Baratheon and travels south to the capital. Following an assassination attempt on her son Bran, she follows Eddard to warn him that House Lannister were involved. On her return journey she chances upon Tyrion Lannister and takes him into custody. This incites further conflict between the houses and Eddard is arrested for treason when Cersei Lannister becomes queen regent following the unexpected death of Robert. Catelyn is forced to release Tyrion when he proves his innocence in a trial by combat. She joins her son, Robb Stark, who has gathered the Stark banners to fight for Eddard's freedom. Eddard is executed on the order of King Joffrey Baratheon and Catelyn promises Robb that they will avenge him. While at the wedding of her brother to Roslin Frey, Catelyn is killed along with her son, his wife, and most of the Stark bannermen. "
30,Theon,Greyjoy,Reek,Male,Drowned God,Alive,"Theon Greyjoy is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Alfie Allen and debuts in the series premiere. Theon is the heir of Lord Balon Greyjoy of the Iron Islands. He has been a hostage of House Stark since his father's failed uprising against King Robert Baratheon. Despite his status, Theon became a close friend to Robb Stark. However, after Robb sent him as an emissary to his father during his war against the Iron Throne, the Greyjoy prince turned on the Starks and joined Lord Balon in his campaign to seize the North. He took over Winterfell and installed himself as Prince of Winterfell until he was betrayed by his own crew and delivered to House Bolton shortly after. As a prisoner of Ramsay Snow, the ""Bastard of Bolton"", he has been subjected to physical and psychological torture and mockingly renamed as ""Reek"". "
31,Hodor,Hodor,Hodor,Male,Hodor,Alive,"Hodor is a recurring character in the first, second, third and fourth seasons. He is played by guest star Kristian Nairn and debuts in the series premiere, though he does not speak until ""Cripples, Bastards and Broken Things."" Hodor is a simpleminded servant of House Stark at Winterfell working in the stables. He aids Bran Stark's mobility after he sustains a paralyzing injury when falling from a tower by carrying him from place to place, in his arms, in a basket on his back, and in a wheelbarrow. After Winterfell is captured by Theon Greyjoy, Hodor escapes with Osha, Bran, and Rickon leaving a trail, then back tracking to hide in the Stark crypts. When emerging to find Winterfell burned, he leaves with Osha to take Bran and Rickon north to the Wall to Jon Snow. "
32,Melisandre,,The Red Woman,Female,Lord of Light,Alive,"Melisandre, often referred to as The Red Woman, is a major character in the second, third, fourth and fifth seasons. She is played by starring cast member Carice van Houten and debuts in ""The North Remembers."" She is a priestess of the Lord of Light and a close advisor to Stannis Baratheon."
33,Davos,Seaworth,The Onion Knight,Male,Faith of the Seven,Alive,"Ser Davos Seaworth is a major character in the second, third, fourth and fifth seasons. He is played by starring cast member Liam Cunningham and debuts in ""The North Remembers"". Davos is a landed knight, and a former smuggler in the service of Stannis Baratheon, Lord of Dragonstone and claimant to the Iron Throne. "
34,Jorah ,Mormont,,Male,Old Gods of the Forest,Alive,"Ser Jorah Mormont is a major character in the first, second, third, fourth and fifth seasons. He is played by starring cast member Iain Glen, and debuts in the series premiere. Ser Jorah is an exiled Northern lord living in Essos. He has sworn fealty to his fellow exile Daenerys Targaryen and helps her adapt to life as a Khaleesi of the Dothraki. Originally, Jorah was working as a spy for Varys, King Robert's spymaster in King's Landing, sending Varys information about the Targaryen exiles. But he grows to respect and admire Daenerys and begins serving her in earnest. He saves her from an assassination attempt, stops sending reports to Varys and ignores an official royal pardon which would allow him to return home to Westeros. He develops strong and unrequited feelings for her. When Daenerys learns of his past spying, however, he is dismissed from her service and ordered to leave her presence. "
35,Renly,Baratheon,,Male,Faith of the Seven,Deceased,"Renly Baratheon is a recurring character in the first and second seasons. He is played by guest star Gethin Anthony, and debuts in ""Lord Snow."" Renly is a younger son of House Baratheon who is the Lord of Storm's End and has served on the small council as Master of Laws. Following the death of his oldest brother King Robert Baratheon, Renly claims the Iron Throne for himself, contesting the claims of his nephew Joffrey Baratheon and his older brother Stannis Baratheon. Renly is assassinated by a shadow creature conjured by Stannis' advisor Melisandre during the War of the Five Kings. After Renly's death most of his bannermen from the Stormlands submit to his older brother. "
36,Rickon,Stark,,Male,Old Gods of the Forest,Alive,"Rickon Stark is a recurring character in the first, second and third seasons. He is played by guest star Art Parkinson and debuts in the series premiere. Rickon is the youngest son of Eddard Stark and Catelyn Stark and lives with his family in Winterfell until the Fall of Winterfell. Rickon adopted the direwolf Shaggydog and they have forged a strong connection. He traveled to find safety at Last Hearth with the wildling Osha after being separated from his brother, Bran, Hodor, Meera and Jojen Reed. He is six when the series begins. "
37,Brynden,Tully,Blackfish,Male,Faith of the Seven,Alive,"Brynden Tully, popularly called ""the Blackfish"", is a recurring character in the third season. He is played by Clive Russell. Ser Brynden Tully is a knight and a member of House Tully. He is the younger brother of Lord Hoster Tully, and the uncle of Catelyn, Lysa, and Edmure Tully. "
38,Kevan,Lannister,,Male,Faith of the Seven,Alive,"Kevan Lannister is a recurring character in the first, second, and fifth seasons. He is played by guest star Ian Gelder and debuts in ""The Pointy End"". Ser Kevan is a loyal adviser to his older brother Lord Tywin Lannister and one of the topmost officers in the Lannister armies during the War of the Five Kings. "
39,Ramsay,Bolton,the Bastard of Bolton,Male,Old Gods of the Forest,Alive,"Ramsay Bolton (formerly Snow) is a major character in the fourth and fifth seasons. He initially appeared as a recurring character in the third season. He is portrayed by Iwan Rheon, and debuts in ""Dark Wings, Dark Words"". He was first referred to in Season 2, but his actual name is not mentioned until ""Mhysa"". As the bastard son of Lord Roose Bolton, Ramsay originally used the traditional surname for bastards born in the North, and was known as ""Ramsay Snow"". However, he has recently been legitimized as Lord Roose's lawful son, and has therefore been officially renamed ""Ramsay Bolton"" and thus giving him all the rights of a trueborn son. Ramsay is violent and sadistic, and fond of the ancient Bolton practice of flaying. During the War of the Five Kings, he is initially an ally of Robb Stark when he is dispatched by his father to retake Winterfell from Theon Greyjoy. Ramsay, however, massacres the ironborn garrison, puts the castle to the torch, and takes Theon prisoner, all part of his father's plan to betray Robb and the Northern army to the Lannisters. He subjects Theon to extensive physical and psychological torture, turning him into a broken pet named ""Reek"". "
